cleveland & 0.58 & 0.59 & 0.59 & 0.52 & 0.66 & 0.59 & 0.66 & 0.66 & 0.65 & 0.52 & 0.65 & 0.64 \\
hungarian & 0.80 & 0.79 & 0.79 & 0.82 & 0.79 & 0.81 & 0.75 & 0.82 & 0.82 & 0.76 & 0.81 & 0.81 \\
long_beach & 0.78 & 0.78 & 0.8 & 0.8 & 0.81 & 0.73 & 0.75 & 0.71 & 0.71 & 0.75 & 0.75 & 0.68 \\
switzerland & 0.97 & 0.94 & 0.94 & 0.97 & 0.97 & 0.94 & 0.97 & 0.97 & 0.97 & 0.97 & 0.97 & 0.97 \\
all & 0.76 & 0.76 & 0.76 & 0.75 & 0.76 & 0.76 & 0.77 & 0.77 & 0.77 & 0.79 & 0.79 & 0.78 \\
